_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"6.078624","5.9.29.183","172.19.0.3","TCP","1504","9002 → 43520 [PSH, ACK] Seq=361276 Ack=21033 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"6.078639","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=21033 Ack=362724 Win=11901 Len=0"
"6.081892","5.9.29.183","172.19.0.3","TLSv1.2","1330","Application Data, Application Data"
"6.103623","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"6.103644","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=21033 Ack=365458 Win=11911 Len=0"
"6.103694","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=365458 Ack=21033 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"6.103705","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"6.103709","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=368354 Ack=21033 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"6.103715","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=369814 Ack=21033 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"6.103718","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"6.103797","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=372734 Ack=21033 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"6.103819","5.9.29.183","172.19.0.3","TCP","1177","9002 → 43520 [PSH, ACK] Seq=374194 Ack=21033 Win=65535 Len=1121 [TCP segment of a reassembled PDU]"
"6.103846","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=21033 Ack=375315 Win=11855 Len=0"
"6.119063","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"6.119137","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=376775 Ack=21033 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"6.119156","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=21033 Ack=378235 Win=11903 Len=0"
"6.119159","5.9.29.183","172.19.0.3","TCP","173","9002 → 43520 [PSH, ACK] Seq=378235 Ack=21033 Win=65535 Len=117 [TCP segment of a reassembled PDU]"
"6.119163","5.9.29.183","172.19.0.3","TLSv1.2","210","Application Data"
"6.119600","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=21033 Ack=378506 Win=11911 Len=0"
