_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"2.370269","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.370348","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=71149 Ack=6944 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"2.370360","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"2.370400","5.9.29.183","172.19.0.3","TCP","1468","9002 → 43520 [PSH, ACK] Seq=74069 Ack=6944 Win=65535 Len=1412 [TCP segment of a reassembled PDU]"
"2.370404","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=75481 Ack=6944 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"2.370408","5.9.29.183","172.19.0.3","TLSv1.2","1492","Application Data [TCP segment of a reassembled PDU]"
"2.370530","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=6944 Ack=78377 Win=11871 Len=0"
"2.375249","5.9.29.183","172.19.0.3","TCP","931","9002 → 43520 [PSH, ACK] Seq=78377 Ack=6944 Win=65535 Len=875 [TCP segment of a reassembled PDU]"
"2.375301","5.9.29.183","172.19.0.3","TLSv1.2","346","Application Data"
"2.375399","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=6944 Ack=79542 Win=11911 Len=0"
"2.393591","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.393648","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=81002 Ack=6944 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"2.393655","5.9.29.183","172.19.0.3","TLSv1.2","787","Application Data"
"2.393810","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=6944 Ack=83169 Win=11895 Len=0"
"2.411258","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.411306","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=84629 Ack=6944 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"2.411318","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=6944 Ack=86089 Win=11903 Len=0"
"2.411321","5.9.29.183","172.19.0.3","TLSv1.2","763","Application Data"
"2.429047","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
"2.429102","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=6944 Ack=88244 Win=11911 Len=0"
"2.429183","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=88244 Ack=6944 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
